slot_id,doctor_id,service_id,date,start_time,end_time,status,capacity,booked_count,estimated_wait_time,is_telehealth,room
SL00074,D010,SV009,2026-06-02,10:30,10:55,available,1,0,31,no,101
SL00075,D010,SV008,2026-06-02,11:00,11:30,booked,1,1,36,no,101
SL00076,D010,SV009,2026-06-02,14:00,14:25,blocked,1,0,,no,101
SL00077,D010,SV008,2026-06-02,14:30,15:00,available,1,0,28,no,101
SL00078,D010,SV009,2026-06-02,15:00,15:25,booked,1,1,34,no,101
SL00079,D010,SV009,2026-06-02,15:30,15:55,available,1,0,27,no,101
SL00080,D010,SV008,2026-06-02,16:00,16:30,available,1,0,33,no,101
SL00081,D010,SV007,2026-06-02,16:30,16:55,booked,1,1,43,no,101
SL00082,D011,SV007,2026-06-02,13:30,13:55,available,1,0,18,no,120
SL00083,D011,SV008,2026-06-02,14:00,14:30,available,1,0,20,no,120
SL00084,D011,SV008,2026-06-02,14:30,15:00,available,1,0,26,no,120
SL00085,D011,SV008,2026-06-02,15:00,15:30,available,1,0,14,no,120
SL00086,D011,SV009,2026-06-02,15:30,15:55,blocked,1,0,,no,120
SL00087,D011,SV008,2026-06-02,16:00,16:30,available,1,0,26,no,120
SL00088,D011,SV007,2026-06-02,16:30,16:55,blocked,1,0,,no,120
SL00089,D013,SV012,2026-06-02,08:00,08:25,booked,1,1,41,no,420
SL00090,D013,SV010,2026-06-02,08:30,08:50,booked,1,1,38,no,420
SL00091,D013,SV012,2026-06-02,09:00,09:25,available,1,0,34,no,420
SL00092,D013,SV011,2026-06-02,09:30,09:55,available,1,0,22,no,420
SL00093,D013,SV010,2026-06-02,10:00,10:20,available,1,0,18,no,420
SL00094,D013,SV010,2026-06-02,10:30,10:50,available,1,0,26,no,420
SL00095,D013,SV012,2026-06-02,11:00,11:25,booked,1,1,40,no,420
SL00096,D015,SV011,2026-06-02,08:00,08:25,available,1,0,29,no,418
SL00097,D015,SV010,2026-06-02,08:30,08:50,booked,1,1,38,no,418
SL00098,D015,SV010,2026-06-02,09:00,09:20,available,1,0,32,no,418
SL00099,D015,SV010,2026-06-02,09:30,09:50,available,1,0,27,no,418
SL00100,D015,SV012,2026-06-02,10:00,10:25,blocked,1,0,,no,418
SL00101,D015,SV012,2026-06-02,10:30,10:55,available,1,0,19,no,418
SL00102,D015,SV010,2026-06-02,11:00,11:20,booked,1,1,35,no,418
SL00103,D016,SV012,2026-06-02,08:00,08:25,available,1,0,34,no,409
SL00104,D016,SV011,2026-06-02,08:30,08:55,available,1,0,29,no,409
SL00105,D016,SV011,2026-06-02,09:00,09:25,available,1,0,34,yes,409
SL00106,D016,SV012,2026-06-02,09:30,09:55,blocked,1,0,,no,409
SL00107,D016,SV011,2026-06-02,10:00,10:25,available,1,0,29,yes,409
SL00108,D016,SV011,2026-06-02,10:30,10:55,available,1,0,25,no,409
SL00109,D016,SV012,2026-06-02,11:00,11:25,available,1,0,18,yes,409
SL00110,D018,SV013,2026-06-02,08:00,08:30,available,1,0,41,no,501
SL00111,D018,SV015,2026-06-02,08:30,08:55,available,1,0,33,no,501
SL00112,D018,SV013,2026-06-02,09:00,09:30,booked,1,1,44,no,501
SL00113,D018,SV013,2026-06-02,09:30,10:00,available,1,0,22,no,501
SL00114,D018,SV014,2026-06-02,10:00,10:25,available,1,0,19,no,501
SL00115,D018,SV014,2026-06-02,10:30,10:55,booked,1,1,27,no,501
SL00116,D018,SV014,2026-06-02,11:00,11:25,available,1,0,32,no,501
SL00117,D018,SV015,2026-06-02,13:30,13:55,available,1,0,22,no,501
SL00118,D018,SV014,2026-06-02,14:00,14:25,booked,1,1,41,no,501
SL00119,D018,SV014,2026-06-02,14:30,14:55,booked,1,1,39,no,501
SL00120,D018,SV015,2026-06-02,15:00,15:25,blocked,1,0,,no,501
SL00121,D018,SV015,2026-06-02,15:30,15:55,blocked,1,0,,no,501
SL00122,D018,SV014,2026-06-02,16:00,16:25,available,1,0,25,no,501
SL00123,D018,SV013,2026-06-02,16:30,17:00,booked,1,1,47,no,501
SL00124,D022,SV016,2026-06-02,08:00,08:30,available,1,0,31,no,320
SL00125,D022,SV018,2026-06-02,08:30,09:00,available,1,0,37,no,320
SL00126,D022,SV018,2026-06-02,09:00,09:30,available,1,0,36,no,320
SL00127,D022,SV017,2026-06-02,09:30,10:30,available,1,0,13,no,320
SL00128,D022,SV016,2026-06-02,10:00,10:30,available,1,0,13,no,320
SL00129,D022,SV016,2026-06-02,10:30,11:00,blocked,1,0,,no,320
SL00130,D022,SV017,2026-06-02,11:00,12:00,available,1,0,25,no,320
SL00131,D022,SV017,2026-06-02,13:30,14:30,available,1,0,23,no,320
SL00132,D022,SV018,2026-06-02,14:00,14:30,booked,1,1,19,no,320
SL00133,D022,SV017,2026-06-02,14:30,15:30,available,1,0,10,no,320
SL00134,D022,SV018,2026-06-02,15:00,15:30,available,1,0,21,no,320
SL00135,D022,SV017,2026-06-02,15:30,16:30,available,1,0,21,no,320
SL00136,D022,SV017,2026-06-02,16:00,17:00,booked,1,1,41,no,320
SL00137,D022,SV018,2026-06-02,16:30,17:00,available,1,0,27,no,320
SL00138,D023,SV018,2026-06-02,08:00,08:30,blocked,1,0,,no,309
SL00139,D023,SV016,2026-06-02,09:00,09:30,available,1,0,34,no,309
SL00140,D023,SV017,2026-06-02,09:30,10:30,available,1,0,22,no,309
SL00141,D023,SV017,2026-06-02,10:00,11:00,available,1,0,18,no,309
SL00142,D023,SV017,2026-06-02,10:30,11:30,booked,1,1,21,no,309
SL00143,D023,SV018,2026-06-02,11:00,11:30,booked,1,1,27,no,309
SL00144,D023,SV018,2026-06-02,13:30,14:00,available,1,0,24,no,309
SL00145,D023,SV018,2026-06-02,14:00,14:30,available,1,0,23,no,309
SL00146,D023,SV016,2026-06-02,14:30,15:00,available,1,0,15,no,309
SL00147,D023,SV017,2026-06-02,15:00,16:00,available,1,0,23,no,309
SL00148,D023,SV018,2026-06-02,15:30,16:00,available,1,0,13,no,309
SL00149,D023,SV018,2026-06-02,16:00,16:30,booked,1,1,27,no,309
SL00150,D023,SV018,2026-06-02,16:30,17:00,booked,1,1,38,no,309
SL00151,D024,SV016,2026-06-02,08:00,08:30,available,1,0,37,no,316
SL00152,D024,SV018,2026-06-02,08:30,09:00,booked,1,1,41,no,316
SL00153,D024,SV016,2026-06-02,09:00,09:30,available,1,0,33,no,316
SL00154,D024,SV017,2026-06-02,09:30,10:30,blocked,1,0,,no,316
SL00155,D024,SV016,2026-06-02,10:00,10:30,booked,1,1,31,no,316
SL00156,D024,SV016,2026-06-02,10:30,11:00,booked,1,1,30,no,316
SL00157,D024,SV016,2026-06-02,13:30,14:00,booked,1,1,23,no,316
SL00158,D024,SV017,2026-06-02,14:00,15:00,available,1,0,12,no,316
SL00159,D024,SV016,2026-06-02,14:30,15:00,booked,1,1,27,no,316
SL00160,D024,SV018,2026-06-02,15:00,15:30,booked,1,1,32,no,316
SL00161,D024,SV017,2026-06-02,15:30,16:30,available,1,0,8,no,316
SL00162,D024,SV016,2026-06-02,16:00,16:30,booked,1,1,37,no,316
SL00163,D024,SV016,2026-06-02,16:30,17:00,blocked,1,0,,no,316
SL00164,D025,SV019,2026-06-02,08:00,08:30,available,1,0,36,no,604
SL00165,D025,SV019,2026-06-02,08:30,09:00,booked,1,1,51,yes,604
SL00166,D025,SV021,2026-06-02,09:00,09:25,available,1,0,41,no,604
SL00167,D025,SV019,2026-06-02,09:30,10:00,booked,1,1,34,no,604
SL00168,D025,SV020,2026-06-02,11:00,11:30,available,1,0,24,no,604
SL00169,D025,SV019,2026-06-02,14:00,14:30,booked,1,1,33,no,604
SL00170,D025,SV019,2026-06-02,14:30,15:00,booked,1,1,32,yes,604
SL00171,D025,SV020,2026-06-02,15:30,16:00,available,1,0,11,no,604
SL00172,D025,SV020,2026-06-02,16:00,16:30,booked,1,1,37,no,604
SL00173,D025,SV019,2026-06-02,16:30,17:00,available,1,0,24,no,604
SL00174,D026,SV021,2026-06-02,08:00,08:25,available,1,0,28,no,619
SL00175,D026,SV020,2026-06-02,08:30,09:00,booked,1,1,52,no,619
SL00176,D026,SV019,2026-06-02,09:00,09:30,booked,1,1,49,yes,619
SL00177,D026,SV020,2026-06-02,09:30,10:00,booked,1,1,28,no,619
SL00178,D026,SV019,2026-06-02,10:00,10:30,booked,1,1,24,yes,619
SL00179,D026,SV019,2026-06-02,10:30,11:00,booked,1,1,33,no,619
SL00180,D026,SV019,2026-06-02,11:00,11:30,available,1,0,21,no,619
SL00181,D027,SV021,2026-06-02,08:00,08:25,available,1,0,42,no,610
SL00182,D027,SV021,2026-06-02,08:30,08:55,available,1,0,38,no,610
SL00183,D027,SV021,2026-06-02,09:00,09:25,available,1,0,29,no,610
SL00184,D027,SV020,2026-06-02,09:30,10:00,available,1,0,26,no,610
SL00185,D027,SV020,2026-06-02,10:00,10:30,available,1,0,29,no,610
SL00186,D027,SV019,2026-06-02,10:30,11:00,booked,1,1,35,no,610
SL00187,D027,SV020,2026-06-02,11:00,11:30,booked,1,1,29,no,610
SL00188,D027,SV019,2026-06-02,13:30,14:00,available,1,0,14,no,610
SL00189,D027,SV019,2026-06-02,14:00,14:30,booked,1,1,19,no,610
SL00190,D027,SV021,2026-06-02,14:30,14:55,available,1,0,15,no,610
SL00191,D027,SV020,2026-06-02,15:00,15:30,booked,1,1,23,no,610
SL00192,D027,SV020,2026-06-02,15:30,16:00,available,1,0,9,no,610
SL00193,D027,SV021,2026-06-02,16:00,16:25,booked,1,1,45,no,610
SL00194,D027,SV021,2026-06-02,16:30,16:55,available,1,0,26,no,610
SL00195,D028,SV019,2026-06-02,08:00,08:30,available,1,0,28,no,605
SL00196,D028,SV021,2026-06-02,08:30,08:55,booked,1,1,45,no,605
SL00197,D028,SV020,2026-06-02,09:00,09:30,booked,1,1,46,no,605
SL00198,D028,SV019,2026-06-02,09:30,10:00,available,1,0,12,no,605
SL00199,D028,SV021,2026-06-02,10:00,10:25,available,1,0,25,no,605
SL00200,D028,SV021,2026-06-02,11:00,11:25,available,1,0,27,no,605
SL00201,D030,SV022,2026-06-02,08:00,08:30,available,1,0,30,no,718
SL00202,D030,SV023,2026-06-02,09:00,09:25,available,1,0,39,yes,718
SL00203,D030,SV024,2026-06-02,09:30,10:00,available,1,0,16,no,718
SL00204,D030,SV022,2026-06-02,10:00,10:30,available,1,0,20,no,718
SL00205,D030,SV023,2026-06-02,10:30,10:55,booked,1,1,38,no,718
SL00206,D030,SV023,2026-06-02,11:00,11:25,available,1,0,12,no,718
SL00207,D030,SV023,2026-06-02,13:30,13:55,booked,1,1,25,yes,718
SL00208,D030,SV022,2026-06-02,14:00,14:30,available,1,0,15,no,718
SL00209,D030,SV022,2026-06-02,14:30,15:00,booked,1,1,33,yes,718
SL00210,D030,SV023,2026-06-02,16:00,16:25,blocked,1,0,,yes,718
SL00211,D032,SV023,2026-06-02,08:00,08:25,available,1,0,24,no,705
SL00212,D032,SV022,2026-06-02,08:30,09:00,available,1,0,40,no,705
SL00213,D032,SV022,2026-06-02,09:00,09:30,available,1,0,24,no,705
SL00214,D032,SV024,2026-06-02,09:30,10:00,available,1,0,15,no,705
SL00215,D032,SV022,2026-06-02,10:00,10:30,available,1,0,16,no,705
SL00216,D032,SV024,2026-06-02,10:30,11:00,available,1,0,15,no,705
SL00217,D032,SV024,2026-06-02,11:00,11:30,booked,1,1,35,no,705
SL00218,D032,SV024,2026-06-02,13:30,14:00,blocked,1,0,,no,705
SL00219,D032,SV024,2026-06-02,14:00,14:30,available,1,0,16,no,705
SL00220,D032,SV024,2026-06-02,14:30,15:00,booked,1,1,31,no,705
SL00221,D032,SV022,2026-06-02,15:00,15:30,available,1,0,22,no,705
SL00222,D032,SV022,2026-06-02,15:30,16:00,available,1,0,8,no,705
SL00223,D032,SV022,2026-06-02,16:00,16:30,available,1,0,26,no,705
SL00224,D032,SV024,2026-06-02,16:30,17:00,booked,1,1,32,no,705
SL00225,D034,SV027,2026-06-02,13:30,13:55,available,1,0,12,no,516
SL00226,D034,SV027,2026-06-02,14:00,14:25,booked,1,1,33,no,516
SL00227,D034,SV026,2026-06-02,14:30,15:00,available,1,0,10,no,516
SL00228,D034,SV025,2026-06-02,15:00,15:30,available,1,0,21,no,516
SL00229,D034,SV027,2026-06-02,15:30,15:55,blocked,1,0,,no,516
SL00230,D034,SV026,2026-06-02,16:00,16:30,available,1,0,22,no,516
SL00231,D034,SV026,2026-06-02,16:30,17:00,available,1,0,30,no,516
SL00232,D035,SV027,2026-06-02,15:00,15:25,blocked,1,0,,no,509
SL00233,D035,SV025,2026-06-02,15:30,16:00,booked,1,1,30,yes,509
SL00234,D035,SV027,2026-06-02,16:00,16:25,blocked,1,0,,no,509
SL00235,D035,SV026,2026-06-02,16:30,17:00,booked,1,1,23,no,509
SL00236,D036,SV025,2026-06-02,13:30,14:00,booked,1,1,39,no,503
SL00237,D036,SV027,2026-06-02,14:00,14:25,booked,1,1,28,no,503
SL00238,D036,SV025,2026-06-02,14:30,15:00,available,1,0,18,no,503
SL00239,D036,SV026,2026-06-02,15:00,15:30,available,1,0,23,no,503
SL00240,D036,SV026,2026-06-02,15:30,16:00,booked,1,1,40,no,503
SL00241,D036,SV027,2026-06-02,16:00,16:25,booked,1,1,33,no,503
SL00242,D036,SV025,2026-06-02,16:30,17:00,booked,1,1,43,no,503
SL00243,D038,SV028,2026-06-02,08:00,08:30,booked,1,1,50,no,812
SL00244,D038,SV030,2026-06-02,08:30,08:55,available,1,0,40,yes,812
SL00245,D038,SV029,2026-06-02,09:00,09:25,available,1,0,34,no,812
SL00246,D038,SV030,2026-06-02,09:30,09:55,booked,1,1,44,no,812
SL00247,D038,SV029,2026-06-02,10:00,10:25,available,1,0,27,yes,812
SL00248,D038,SV030,2026-06-02,10:30,10:55,available,1,0,23,no,812
SL00249,D038,SV028,2026-06-02,11:00,11:30,available,1,0,24,yes,812
SL00250,D038,SV030,2026-06-02,13:30,13:55,available,1,0,29,no,812
SL00251,D038,SV030,2026-06-02,14:00,14:25,available,1,0,10,no,812
SL00252,D038,SV030,2026-06-02,14:30,14:55,available,1,0,25,yes,812
SL00253,D038,SV030,2026-06-02,15:00,15:25,booked,1,1,21,no,812
SL00254,D038,SV029,2026-06-02,15:30,15:55,available,1,0,12,yes,812
SL00255,D038,SV030,2026-06-02,16:00,16:25,available,1,0,21,no,812
SL00256,D038,SV029,2026-06-02,16:30,16:55,available,1,0,30,no,812
SL00257,D039,SV028,2026-06-02,08:00,08:30,booked,1,1,43,yes,804
SL00258,D039,SV028,2026-06-02,08:30,09:00,available,1,0,40,no,804
SL00259,D039,SV030,2026-06-02,09:00,09:25,available,1,0,35,yes,804
SL00260,D039,SV029,2026-06-02,10:30,10:55,available,1,0,13,no,804
SL00261,D039,SV030,2026-06-02,11:00,11:25,booked,1,1,31,no,804
SL00262,D040,SV029,2026-06-02,08:30,08:55,booked,1,1,52,no,801
SL00263,D040,SV028,2026-06-02,09:30,10:00,booked,1,1,41,no,801
SL00264,D040,SV030,2026-06-02,10:00,10:25,available,1,0,30,no,801
SL00265,D040,SV029,2026-06-02,10:30,10:55,booked,1,1,28,no,801
SL00266,D040,SV028,2026-06-02,11:00,11:30,booked,1,1,40,no,801
SL00267,D040,SV029,2026-06-02,13:30,13:55,available,1,0,30,yes,801
SL00268,D040,SV028,2026-06-02,14:00,14:30,blocked,1,0,,no,801
SL00269,D040,SV029,2026-06-02,14:30,14:55,available,1,0,22,yes,801
SL00270,D040,SV029,2026-06-02,15:00,15:25,available,1,0,19,no,801
SL00271,D040,SV029,2026-06-02,15:30,15:55,available,1,0,18,no,801
SL00272,D040,SV029,2026-06-02,16:00,16:25,available,1,0,30,yes,801
SL00273,D040,SV029,2026-06-02,16:30,16:55,blocked,1,0,,no,801
SL00274,D042,SV033,2026-06-02,08:00,08:20,available,1,0,33,no,414
SL00275,D042,SV031,2026-06-02,08:30,08:50,available,1,0,30,no,414
SL00276,D042,SV033,2026-06-02,09:00,09:20,available,1,0,40,no,414
SL00277,D042,SV033,2026-06-02,09:30,09:50,available,1,0,18,no,414
SL00278,D042,SV031,2026-06-02,10:00,10:20,available,1,0,15,no,414
SL00279,D042,SV031,2026-06-02,10:30,10:50,blocked,1,0,,no,414
SL00280,D042,SV032,2026-06-02,11:00,11:25,blocked,1,0,,no,414
SL00281,D046,SV035,2026-06-02,08:30,08:55,booked,1,1,52,no,203
SL00282,D046,SV035,2026-06-02,09:00,09:25,booked,1,1,53,no,203
SL00283,D046,SV034,2026-06-02,09:30,09:55,available,1,0,29,no,203
SL00284,D046,SV036,2026-06-02,10:00,10:20,available,1,0,27,no,203
SL00285,D046,SV035,2026-06-02,10:30,10:55,available,1,0,12,no,203
SL00286,D046,SV036,2026-06-02,11:00,11:20,blocked,1,0,,no,203
SL00287,D047,SV034,2026-06-02,08:00,08:25,available,1,0,33,no,205
SL00288,D047,SV034,2026-06-02,08:30,08:55,available,1,0,36,no,205
SL00289,D047,SV036,2026-06-02,09:00,09:20,available,1,0,25,no,205
SL00290,D047,SV034,2026-06-02,09:30,09:55,available,1,0,18,no,205
SL00291,D047,SV034,2026-06-02,10:00,10:25,available,1,0,14,no,205
SL00292,D047,SV034,2026-06-02,10:30,10:55,available,1,0,16,no,205
SL00293,D047,SV035,2026-06-02,11:00,11:25,available,1,0,21,no,205
SL00294,D048,SV036,2026-06-02,13:30,13:50,available,1,0,18,no,201
SL00295,D048,SV036,2026-06-02,14:00,14:20,booked,1,1,35,no,201
SL00296,D048,SV036,2026-06-02,14:30,14:50,available,1,0,9,no,201
SL00297,D048,SV035,2026-06-02,15:00,15:25,available,1,0,13,no,201
SL00298,D048,SV036,2026-06-02,15:30,15:50,available,1,0,13,no,201
SL00299,D048,SV036,2026-06-02,16:00,16:20,available,1,0,17,no,201
SL00300,D048,SV034,2026-06-02,16:30,16:55,booked,1,1,26,no,201
SL00301,D002,SV003,2026-06-03,08:00,08:30,booked,1,1,53,no,207
SL00302,D002,SV003,2026-06-03,08:30,09:00,booked,1,1,43,no,207
SL00303,D002,SV002,2026-06-03,09:00,09:25,available,1,0,40,no,207
SL00304,D002,SV002,2026-06-03,09:30,09:55,available,1,0,30,no,207
SL00305,D002,SV003,2026-06-03,10:00,10:30,available,1,0,26,no,207
SL00306,D002,SV001,2026-06-03,10:30,11:00,blocked,1,0,,no,207
SL00307,D002,SV002,2026-06-03,11:00,11:25,blocked,1,0,,no,207
SL00308,D002,SV001,2026-06-03,13:30,14:00,available,1,0,27,no,207
SL00309,D002,SV003,2026-06-03,14:00,14:30,booked,1,1,34,no,207
SL00310,D002,SV002,2026-06-03,14:30,14:55,available,1,0,13,no,207
SL00311,D002,SV002,2026-06-03,15:00,15:25,available,1,0,31,no,207
SL00312,D002,SV001,2026-06-03,15:30,16:00,available,1,0,22,no,207
SL00313,D002,SV001,2026-06-03,16:00,16:30,available,1,0,28,no,207
SL00314,D002,SV003,2026-06-03,16:30,17:00,booked,1,1,44,no,207
SL00315,D004,SV002,2026-06-03,08:00,08:25,available,1,0,34,no,220
SL00316,D004,SV002,2026-06-03,08:30,08:55,booked,1,1,47,no,220
SL00317,D004,SV002,2026-06-03,09:00,09:25,booked,1,1,44,no,220
SL00318,D004,SV001,2026-06-03,09:30,10:00,booked,1,1,36,no,220
SL00319,D004,SV002,2026-06-03,10:00,10:25,available,1,0,34,no,220
SL00320,D004,SV002,2026-06-03,10:30,10:55,booked,1,1,53,no,220
SL00321,D004,SV001,2026-06-03,11:00,11:30,booked,1,1,53,no,220
SL00322,D004,SV001,2026-06-03,13:30,14:00,available,1,0,19,no,220
SL00323,D004,SV003,2026-06-03,14:00,14:30,available,1,0,22,no,220
SL00324,D004,SV003,2026-06-03,14:30,15:00,blocked,1,0,,yes,220
SL00325,D004,SV002,2026-06-03,15:00,15:25,available,1,0,29,yes,220
SL00326,D004,SV001,2026-06-03,15:30,16:00,available,1,0,15,yes,220
SL00327,D004,SV001,2026-06-03,16:00,16:30,available,1,0,18,no,220
SL00328,D004,SV003,2026-06-03,16:30,17:00,available,1,0,20,no,220
SL00329,D005,SV004,2026-06-03,13:30,13:50,available,1,0,28,no,316
SL00330,D005,SV004,2026-06-03,14:00,14:20,available,1,0,12,no,316
SL00331,D005,SV006,2026-06-03,14:30,14:55,booked,1,1,22,no,316
SL00332,D005,SV005,2026-06-03,15:00,15:25,booked,1,1,31,no,316
SL00333,D005,SV006,2026-06-03,15:30,15:55,available,1,0,17,yes,316
SL00334,D005,SV004,2026-06-03,16:00,16:20,available,1,0,29,no,316
SL00335,D005,SV005,2026-06-03,16:30,16:55,available,1,0,27,yes,316
SL00336,D006,SV005,2026-06-03,08:00,08:25,booked,1,1,40,no,309
SL00337,D006,SV004,2026-06-03,08:30,08:50,booked,1,1,38,no,309
SL00338,D006,SV006,2026-06-03,09:00,09:25,booked,1,1,44,no,309
SL00339,D006,SV004,2026-06-03,09:30,09:50,available,1,0,15,no,309
SL00340,D006,SV006,2026-06-03,10:00,10:25,available,1,0,26,no,309
SL00341,D006,SV004,2026-06-03,10:30,10:50,booked,1,1,38,no,309
SL00342,D006,SV004,2026-06-03,11:00,11:20,blocked,1,0,,no,309
SL00343,D006,SV006,2026-06-03,13:30,13:55,available,1,0,13,no,309
SL00344,D006,SV005,2026-06-03,14:30,14:55,available,1,0,12,no,309
SL00345,D006,SV005,2026-06-03,16:00,16:25,booked,1,1,32,no,309
SL00346,D006,SV006,2026-06-03,16:30,16:55,booked,1,1,37,no,309
SL00347,D007,SV004,2026-06-03,08:00,08:20,available,1,0,27,no,315
SL00348,D007,SV005,2026-06-03,08:30,08:55,blocked,1,0,,no,315
SL00349,D007,SV004,2026-06-03,09:30,09:50,available,1,0,13,no,315
SL00350,D007,SV004,2026-06-03,10:00,10:20,booked,1,1,42,no,315
SL00351,D007,SV006,2026-06-03,10:30,10:55,booked,1,1,34,no,315
